"Method","k","1-PAC","mean_silhouette","concordance","area_increased","Rand","Jaccard"
"SD:hclust",4,1,1,1,0.0523998819223217,0.964788732394366,0.892984542211653
"MAD:hclust",4,1,1,1,0.0523998819223217,0.964788732394366,0.892984542211653
"ATC:hclust",4,1,1,1,0.0253472333926803,0.988262910798122,0.978181818181818
"SD:skmeans",4,1,0.992523755979414,0.992222222222222,0.073104457030168,0.945226917057903,0.833729216152019
"MAD:skmeans",4,1,0.992523755979414,0.992222222222222,0.073104457030168,0.945226917057903,0.833729216152019
"ATC:skmeans",4,0.930784708249497,0.96678415133734,0.988055555555556,0.0382797480247021,0.991784037558685,0.984030418250951
"MAD:kmeans",4,0.829813664596273,0.75497687709957,0.904722222222222,0.108001266511144,0.952660406885759,0.859953703703704
"SD:kmeans",4,0.822937625754527,0.756480864867004,0.906388888888889,0.110308294235509,0.932316118935837,0.801605504587156
"ATC:kmeans",4,0.805092186128183,0.957268992310604,0.934722222222222,0.302104171454985,0.784820031298905,0.51627088830255
