"class","gene_id","logFC","adj.P.Val","direction","rank"
1,"CD3E",1.95313493444882,1.04520335926996e-09,"Up",1
1,"PRKCH",1.40608730491854,2.75281150926648e-08,"Up",2
1,"CD2",1.80392079350489,9.37302974601312e-08,"Up",3
1,"CTLA4",2.39947839346884,1.28388757238045e-06,"Up",4
1,"ITK",1.91643543838042,1.28388757238045e-06,"Up",5
1,"CD3G",1.90463927203439,1.28388757238045e-06,"Up",6
1,"CD28",2.2693009050141,4.01480975896834e-06,"Up",7
1,"CAMK4",2.09837305060427,4.01480975896834e-06,"Up",8
1,"CD8A",1.8069251153874,4.01480975896834e-06,"Up",9
1,"IL7R",1.74599267549158,4.01480975896834e-06,"Up",10
1,"GBP5",1.41764930088411,5.19380514517501e-06,"Up",11
1,"ITM2A",1.62098583935601,6.08397626881517e-06,"Up",12
1,"SLFN12L",1.29603236641094,8.37625246986215e-06,"Up",13
1,"SH2D1A",2.3309092875845,8.42132209176451e-06,"Up",14
1,"CD3D",2.08800060214253,8.42132209176451e-06,"Up",15
1,"TNIK",1.73348255700674,8.42132209176451e-06,"Up",16
1,"INPP4B",1.29583598409647,8.42132209176451e-06,"Up",17
1,"CD96",1.31671164841347,1.06944590957031e-05,"Up",18
1,"TBC1D4",1.31678221909087,1.09481485522111e-05,"Up",19
1,"AAK1",1.03040059569514,1.09481485522111e-05,"Up",20
1,"PRKCQ",1.89760234697989,1.23702472659412e-05,"Up",21
1,"GIMAP7",1.75457093598372,1.27042962712931e-05,"Up",22
1,"CCL21",3.06772383525536,1.71213624526166e-05,"Up",23
1,"BCL11B",1.64771373532009,1.71213624526166e-05,"Up",24
1,"LEF1",1.6515749155313,1.72608827083533e-05,"Up",25
1,"GBP4",1.55811482572609,2.01995804306858e-05,"Up",26
1,"CD247",1.28497867379553,2.48667430896277e-05,"Up",27
1,"GIMAP4",1.78689469593044,2.57255021048611e-05,"Up",28
1,"TOX",1.75969119193634,2.58664718496565e-05,"Up",29
1,"TC2N",1.3855063219889,2.58664718496565e-05,"Up",30
1,"ST8SIA1",1.91196072496664,3.98344828955468e-05,"Up",31
1,"GCNT4",1.84324579950463,5.75288346230439e-05,"Up",32
1,"EOMES",1.71592259667459,5.75288346230439e-05,"Up",33
1,"GBP1",1.3256646336772,9.11451938216432e-05,"Up",34
1,"PRDM1",1.32200636332902,0.000102779468595214,"Up",35
1,"TXK",1.73255856606304,0.000118001215119836,"Up",36
1,"IL32",1.1048882122495,0.000136141159900644,"Up",37
1,"GZMK",1.72583193925339,0.000137553402694532,"Up",38
1,"TTC39B",1.39294242709838,0.000146001363524493,"Up",39
1,"IDO1",2.26272455571347,0.000163588432820794,"Up",40
1,"CCR5",1.57892785585633,0.000232070992108544,"Up",41
1,"GZMA",2.08044503263267,0.000328643442058749,"Up",42
1,"GIMAP5",1.30215591202997,0.000470788686030556,"Up",43
1,"CCDC141",1.43713644235969,0.000539353474476572,"Up",44
1,"PLCL1",1.29174595778324,0.000552158844257252,"Up",45
1,"GPRIN3",1.1394418558204,0.000614657179503692,"Up",46
1,"RNF125",1.26563874713966,0.000624572823242265,"Up",47
1,"NELL2",1.81388790069187,0.000723539919299368,"Up",48
1,"SLAMF1",1.38103081227437,0.00122801241147583,"Up",49
1,"SAMD3",1.677667821779,0.00138962352160277,"Up",50
1,"F5",1.67987481300504,0.00143103266837198,"Up",51
1,"LAT",1.20516659075157,0.00150650059677381,"Up",52
1,"EIF4E3",1.24867787259628,0.00170708967324358,"Up",53
1,"RASGRP1",1.16754767879337,0.0017312009004275,"Up",54
1,"SIRPG",1.86022897894984,0.00205527080256312,"Up",55
