"class","unique_gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","direction","rank"
"1","TRAC",0.800144909564458,11.4082917955847,7.92095752841454,3.16974541762079e-10,1.8606405601434e-06,"Up",1
"1","GIMAP1-GIMAP5",0.502521811714207,14.3467877148303,5.70939998701358,3.14603860173265e-07,0.000469044563972196,"Up",2
"1","GIMAP4",0.388965311703768,15.9534034078885,5.7027962362328,3.19621508669299e-07,0.000469044563972196,"Up",3
"1","LCP2",0.281077089657672,13.6768984825609,5.84072376373379,1.86425878633004e-07,0.000469044563972196,"Up",4
"1","CD3E",0.405631521609446,13.7181189615216,5.50793056408132,6.8034161868102e-07,0.000798721060331518,"Up",5
"1","CD2",0.360790427321871,13.2655117853297,5.4852109957549,1.01199029960469e-06,0.000990063843113256,"Up",6
"1","TUBAL3",-0.590146619930387,11.4630872006437,-6.62213589728277,5.2262345608258e-06,0.00438257098172106,"Down",7
"1","BCL9L",-0.53604904606851,12.2378343917318,-5.75095077632827,9.75314793313506e-06,0.00651014384881131,"Down",8
"1","SERPINB6",0.250179728099,14.5361998757625,4.79552693646019,9.98148119919962e-06,0.00651014384881131,"Up",9
"1","FYB",0.284977457839015,14.7412983141071,4.66374493316864,1.61499431033291e-05,0.00948001660165416,"Up",10
