"class","gene_id","logFC","adj.P.Val","direction","rank"
2,"SEMA5A",-1.55998954277537,0.00833654323208514,"Down",1
2,"CD3E",-1.44100296109423,0.00833654323208514,"Down",2
2,"PYHIN1",-1.09153015220602,0.00833654323208514,"Down",3
2,"VCAN",1.67749787279005,0.0209760218828222,"Up",4
2,"GPR174",-1.11577652003527,0.0262338818834073,"Down",5
2,"CXCL13",-1.96496635891036,0.0303886676162659,"Down",6
2,"CD96",-1.07464268621317,0.0303886676162659,"Down",7
2,"CCL21",-2.45886633722908,0.0439447895554125,"Down",8
2,"ITM2A",-1.25031453579936,0.0439447895554125,"Down",9
2,"CA2",2.5922987393859,0.0481518920373247,"Up",10
2,"FOXC1",2.1500028290553,0.0481518920373247,"Up",11
2,"LILRB3",2.00031712472789,0.0481518920373247,"Up",12
2,"VSIG4",1.78077687756395,0.0481518920373247,"Up",13
2,"POP7",1.44753273049781,0.0481518920373247,"Up",14
2,"ALPK2",-1.42750752963892,0.0481518920373247,"Down",15
2,"SLC1A5",1.32245537905428,0.0481518920373247,"Up",16
2,"ITK",-1.30503841540558,0.0481518920373247,"Down",17
2,"CD2",-1.16276568068018,0.0481518920373247,"Down",18
2,"SLC29A1",1.07164851117477,0.0481518920373247,"Up",19
2,"LRP1",1.07083206168342,0.0481518920373247,"Up",20
2,"CUBN",-1.00649780351277,0.0481518920373247,"Down",21
