"class","gene_id","logFC","adj.P.Val","direction","rank"
4,"GPAA1",-1.6738901963126,0.00216468560514086,"Down",1
4,"PSMG1",-2.42182960113628,0.0119635657805981,"Down",2
4,"PLK1",-2.49170942424527,0.0273407415439521,"Down",3
4,"BSG",-2.23641835691528,0.0273407415439521,"Down",4
4,"COL18A1",-2.16992471900406,0.0273407415439521,"Down",5
4,"UBE2L6",-2.14672681357402,0.0273407415439521,"Down",6
4,"PIGC",-1.86355070307479,0.0273407415439521,"Down",7
4,"PHF23",-1.6751773399262,0.0273407415439521,"Down",8
4,"MGAT2",-1.53631836056158,0.0273407415439521,"Down",9
4,"GABARAP",-1.0740958687165,0.0273407415439521,"Down",10
4,"FTL",-1.05206132189405,0.0273407415439521,"Down",11
4,"ABCB6",-2.16608419382499,0.0313470484571375,"Down",12
4,"PAAF1",-1.82318970813711,0.0352683838572874,"Down",13
4,"TOR3A",-1.77665853110009,0.0352683838572874,"Down",14
4,"DNAJB9",-1.9564622062558,0.0413285622339382,"Down",15
