"class","gene_id","logFC","adj.P.Val","direction","rank"
3,"OLFML2B",-2.19788722767022,0.000168101259831692,"Down",1
3,"MICAL2",-1.69478185664487,0.000168101259831692,"Down",2
3,"NRP2",-1.32168440078062,0.000168101259831692,"Down",3
3,"GIMAP5",-1.70379338117634,0.000355444141553982,"Down",4
3,"ANK3",-2.14247807400372,0.000392851524643189,"Down",5
3,"GJA1",-1.97783654851651,0.000392851524643189,"Down",6
3,"CD14",-2.39694860634506,0.000403227137590736,"Down",7
3,"MAN1C1",-2.13537939502546,0.00058219769646274,"Down",8
3,"XBP1",-1.94474633969393,0.00058219769646274,"Down",9
3,"KALRN",-1.82078285228255,0.00103469335753574,"Down",10
3,"ERN1",-1.27339705669232,0.00103469335753574,"Down",11
3,"RAB31",-2.09415815707816,0.00104449068564501,"Down",12
3,"NUCB2",-1.46757795980943,0.00109378012528818,"Down",13
3,"SASH1",-1.61275683683425,0.00136866363194576,"Down",14
3,"ADARB1",-1.59689342482127,0.00169893753625836,"Down",15
3,"GBP5",-1.41126813323707,0.0022365550276581,"Down",16
3,"SLC8A1",-1.37094339787681,0.00266126097538411,"Down",17
3,"MYOF",-1.39908054345432,0.00285836997789375,"Down",18
3,"LYZ",-1.86461614773348,0.00349666167896085,"Down",19
3,"TNIK",-1.71343117962281,0.00349666167896085,"Down",20
3,"DOCK5",-1.67951302308009,0.00349666167896085,"Down",21
3,"TGFBI",-1.57134286249802,0.0038450946349528,"Down",22
3,"TJP1",-1.26061566405148,0.00653147445929227,"Down",23
3,"PAM",-1.19802212354513,0.00653147445929227,"Down",24
3,"PRKCH",-1.15755995762742,0.00653147445929227,"Down",25
3,"DHRS3",-1.97061928320819,0.00674937002629382,"Down",26
3,"NID1",-1.72120128454954,0.00674937002629382,"Down",27
3,"GBP1",-1.36550357964076,0.00674937002629382,"Down",28
3,"ICA1",-1.79970989702128,0.00764278713999386,"Down",29
3,"GIMAP4",-1.74537924476597,0.00764278713999386,"Down",30
3,"SIPA1L2",-1.67728281936882,0.00764278713999386,"Down",31
3,"IGFBP5",-2.2097315148666,0.00847116337501909,"Down",32
3,"SNAI2",-2.27277872195358,0.00861583429908718,"Down",33
3,"CRISPLD2",-2.0964648254106,0.00861583429908718,"Down",34
3,"TTC39B",-1.42975015603593,0.00861583429908718,"Down",35
3,"CTSD",-1.04937515603977,0.00890925961850631,"Down",36
3,"OSBPL1A",-1.75744415926801,0.00957947283188547,"Down",37
3,"TRIB1",-1.4714489220032,0.00986893793305408,"Down",38
3,"MYL9",-1.67088457667631,0.0106099346910098,"Down",39
3,"EPS8",-1.81963529246606,0.010762382091967,"Down",40
3,"GIMAP7",-1.61959386336066,0.010762382091967,"Down",41
3,"SLC1A3",-1.17086550206993,0.010762382091967,"Down",42
3,"LRP11",-2.1606421837679,0.0110075290040393,"Down",43
3,"CNTLN",-1.64298470080333,0.0110075290040393,"Down",44
3,"MAF",-1.32285721057304,0.0110075290040393,"Down",45
3,"LAMB1",-1.0462243529363,0.0112104698832947,"Down",46
3,"EHD2",-1.72523965338053,0.0113863868090335,"Down",47
3,"PLEKHA5",-1.54162711473433,0.0113863868090335,"Down",48
3,"PTMS",-1.53872618106425,0.0113863868090335,"Down",49
3,"ARHGAP10",-1.25387541991167,0.0113863868090335,"Down",50
3,"AIF1",-1.16021214604687,0.0113863868090335,"Down",51
3,"KCNT2",-1.7889827397383,0.0120720101708678,"Down",52
3,"BCL11B",-1.50457710983738,0.0120720101708678,"Down",53
3,"ETS2",-1.14814585636535,0.0120720101708678,"Down",54
3,"STEAP4",-1.91733414457044,0.0123485588094204,"Down",55
3,"APOL1",-1.33244759408311,0.0134974566203019,"Down",56
3,"SLAMF7",-1.7944794977092,0.0136669805300099,"Down",57
3,"ELL2",-1.47950189940465,0.0148496524364362,"Down",58
3,"PTGDR",-2.27981862157888,0.0148593298350332,"Down",59
3,"FRMD4A",-1.01723357648959,0.0148593298350332,"Down",60
3,"P2RY13",-1.64556550027843,0.0163228848675659,"Down",61
3,"GPRIN3",-1.15366440664007,0.0163501431093349,"Down",62
3,"TRIM47",-1.5029737808891,0.0167825239518135,"Down",63
3,"PALLD",-1.37647877436014,0.0167825239518135,"Down",64
3,"DOCK4",-1.00830312930753,0.0169130947209148,"Down",65
3,"ZDHHC9",-1.57556760091638,0.0171519112167216,"Down",66
3,"SLC25A25",-1.33427219278709,0.0171519112167216,"Down",67
3,"CD4",-1.22901973852482,0.0171519112167216,"Down",68
3,"C1QB",-1.9344460663845,0.018759111154923,"Down",69
3,"CCR2",-1.87371298216445,0.018759111154923,"Down",70
3,"PLCL1",-1.27393534819575,0.0194906774290784,"Down",71
3,"ANXA1",-1.52915932552346,0.0196028872744611,"Down",72
3,"GBP2",-1.30127651931354,0.0196028872744611,"Down",73
3,"A2M",-1.15559151784149,0.0196028872744611,"Down",74
3,"SDC3",-1.25148813818863,0.0198292086088884,"Down",75
3,"TRIM2",-1.53498975351363,0.0210703090885975,"Down",76
3,"ZNF208",-2.35220337855707,0.0219493463782981,"Down",77
3,"ME1",-2.12651141455703,0.0219493463782981,"Down",78
3,"OVGP1",1.0766015274034,0.0231241135983315,"Up",79
3,"HSPA6",-2.58635834744519,0.0232335064883649,"Down",80
3,"BAHCC1",-1.91653085019269,0.0234497315007793,"Down",81
3,"PCSK5",-1.83097505340359,0.0234497315007793,"Down",82
3,"SESTD1",-1.19435544365389,0.0234497315007793,"Down",83
3,"NRP1",-1.18728251457342,0.0234497315007793,"Down",84
3,"CTTN",-1.13656723573514,0.0234497315007793,"Down",85
3,"NFIL3",-1.45885249756391,0.0234809558120571,"Down",86
3,"AKAP12",-1.25614651948711,0.0234809558120571,"Down",87
3,"LMOD1",-2.45822874909876,0.0234885737859926,"Down",88
3,"SCN9A",-2.03446987522856,0.0234885737859926,"Down",89
