"class","gene_id","logFC","adj.P.Val","direction"
2,"NCKAP1",-1.10455363848432,0.038464189125028,"Down"
2,"PTGDR",-1.77620597056594,0.0393115106214766,"Down"
2,"GAL3ST4",1.37869092993407,0.0395867886732754,"Up"
2,"HEBP1",-1.11908664608827,0.0420766687042894,"Down"
2,"SCML1",-1.580655814929,0.0426130886578295,"Down"
2,"PLXDC1",-1.41454488277956,0.0428177072328386,"Down"
2,"ADAMTS3",-1.36384795974901,0.0430185824097511,"Down"
2,"KIF23",-1.09941919025254,0.0434360315898005,"Down"
2,"ITGB5",-1.77949600334986,0.0437165452344614,"Down"
2,"KREMEN1",-1.63122908665859,0.0437165452344614,"Down"
2,"DSP",-1.47170036090413,0.0437165452344614,"Down"
2,"GAS8",-1.3078902202929,0.0437165452344614,"Down"
2,"PGAP1",-1.12676550547898,0.0437165452344614,"Down"
2,"PTPN13",-1.14786189682815,0.0444861998370545,"Down"
2,"RAB32",-1.42638079404046,0.0446474217298614,"Down"
2,"PALLD",-1.0650409556372,0.0446474217298614,"Down"
2,"MSR1",1.68960826957967,0.0447589188517664,"Up"
2,"AQP3",-1.67963393193108,0.0450621506365076,"Down"
2,"UBASH3A",-1.13275685593017,0.0454548164288744,"Down"
2,"PDE10A",-1.13425790207242,0.0460725623575033,"Down"
2,"GBP4",-1.06323566748849,0.0460725623575033,"Down"
2,"CLTCL1",-1.42986811299713,0.0462375502707295,"Down"
2,"TUBB2A",-1.91368629812194,0.0472701685755004,"Down"
2,"PIK3R2",-1.24643652623945,0.047306460978789,"Down"
2,"KCNT2",-1.3190223372815,0.0475973919927536,"Down"
2,"PDE9A",1.61558914505437,0.0486369555654821,"Up"
2,"ERRFI1",-1.49214948180494,0.0486369555654821,"Down"
2,"LILRB3",-1.77929454147522,0.0499691989251021,"Down"
3,"ZNF710",-4.25337611329471,5.55299896599483e-08,"Down"
3,"HMOX1",-5.07782036980443,5.52614649791166e-07,"Down"
3,"SLC25A38",-4.70587746334375,5.52614649791166e-07,"Down"
3,"CMKLR1",-3.33414258950469,8.61849971760378e-05,"Down"
3,"ESRRA",-3.45296740503328,0.000121355816201843,"Down"
3,"NDUFS8",-3.05372022795864,0.000121355816201843,"Down"
3,"CSF1R",-2.86835486253275,0.00313021469982246,"Down"
3,"IL21R",-2.76885947342329,0.00316332799989933,"Down"
3,"ZNF630",-2.68439792234701,0.00316332799989933,"Down"
3,"CDC42EP3",-2.21170499456074,0.00316332799989933,"Down"
3,"PHYHD1",-4.3910632207709,0.00443420760279687,"Down"
3,"TMEM104",-3.17134418228576,0.00443420760279687,"Down"
3,"MRPL38",-1.97912482284292,0.00443420760279687,"Down"
3,"EHD4",-2.08328705962086,0.00478842373322669,"Down"
3,"RELB",-2.14799337030153,0.00493362688379092,"Down"
3,"GCOM1",-3.89251695768397,0.00556013985446982,"Down"
3,"DNAJA4",-3.73268753251271,0.00556013985446982,"Down"
3,"IRS1",-2.76948498709648,0.00556013985446982,"Down"
3,"TXNL4B",-2.42162634743991,0.00556013985446982,"Down"
3,"ZNF707",-3.11927483756851,0.00567636849953687,"Down"
3,"ANKFY1",-1.41497002961421,0.00567636849953687,"Down"
3,"SULT1A1",-3.42928402992601,0.00706450631511163,"Down"
3,"ICAM1",-1.8808610185242,0.00706450631511163,"Down"
3,"JMJD6",-1.87110624855709,0.00716211840911569,"Down"
3,"GNPNAT1",-3.2279288867225,0.00784273288932254,"Down"
3,"POLR2F",-3.2083156983117,0.00784273288932254,"Down"
3,"HSF1",-2.2686424170156,0.00784273288932254,"Down"
3,"SIRT2",-2.53956185715798,0.00784792302730694,"Down"
3,"MVD",-1.92076289404384,0.00794096984513704,"Down"
3,"UBE2L6",-2.8953327903195,0.0101306334106447,"Down"
3,"CDYL2",-2.07364620898445,0.0101306334106447,"Down"
3,"PHF23",-2.32168813538941,0.0101890506778118,"Down"
3,"ELK1",-2.8785109068691,0.0121430079541267,"Down"
3,"POLL",-2.25884836932365,0.0121430079541267,"Down"
3,"GSTM4",-3.03605151247944,0.0131458504755527,"Down"
3,"OAZ2",-1.81069510422091,0.0146258683306172,"Down"
3,"SCAP",-1.42104215943055,0.0160630526148661,"Down"
3,"LDLRAP1",-3.39371386662435,0.0166532106895435,"Down"
3,"NUDT1",-3.10374358940034,0.0173633597642529,"Down"
3,"SGSM2",-1.70545688407922,0.0173633597642529,"Down"
3,"TRIM66",-1.66363142564013,0.0176153218416887,"Down"
3,"CDH3",-4.42066102070446,0.0185472563651209,"Down"
3,"FPR3",-4.09017464890869,0.0185472563651209,"Down"
3,"IGF1R",-2.24650961088935,0.0185472563651209,"Down"
3,"ZNF250",-1.90506357079117,0.0185472563651209,"Down"
3,"GBGT1",-3.87742719552119,0.0197418215786865,"Down"
3,"CORO2A",-3.58006841340223,0.0197418215786865,"Down"
3,"WDFY2",-2.62698444360167,0.0205032491801543,"Down"
3,"HARBI1",-3.7642042589467,0.0220876990192446,"Down"
3,"ZFAND3",-1.81352235243901,0.0220876990192446,"Down"
3,"TEAD2",-3.07532600118277,0.0224286525755034,"Down"
3,"ZFYVE19",-2.20742992752751,0.0224286525755034,"Down"
3,"PYCR2",-1.74046885956496,0.0241769453611757,"Down"
3,"PLAA",-1.37373037687144,0.024402824630565,"Down"
3,"NKIRAS2",-2.18077091181411,0.0254187235201311,"Down"
3,"HLA-DQB2",-3.5795656614418,0.0258919102915927,"Down"
3,"MMP14",-2.91171909303557,0.0258919102915927,"Down"
3,"PNO1",-2.2010657090094,0.0258919102915927,"Down"
3,"MAP3K11",-1.89565991629423,0.0258919102915927,"Down"
3,"STAMBP",-1.28776972491234,0.0258919102915927,"Down"
3,"RAB34",-4.17793537615038,0.0261932197888163,"Down"
3,"GMFG",-2.0316677471474,0.0277050038907237,"Down"
3,"DDTL",-1.73391172049919,0.028030727713735,"Down"
3,"RNF185",-2.17293957346161,0.029299946329824,"Down"
3,"SHMT1",-2.37458846069488,0.0319779619234253,"Down"
3,"NFKBIB",-1.87296479376398,0.0320296609622942,"Down"
3,"ENY2",-2.22348160182632,0.0330115726291096,"Down"
3,"ABT1",-2.20470455616164,0.0330115726291096,"Down"
3,"EPB41L3",-1.90856155495553,0.0330115726291096,"Down"
3,"ZNF491",-3.06409390547844,0.0334743323343965,"Down"
3,"VMAC",-2.54241044038797,0.0334743323343965,"Down"
3,"LSS",-1.72936567718677,0.0334743323343965,"Down"
3,"PTGS1",-3.05844839958712,0.0344695381898571,"Down"
3,"ACOT11",-2.96135772563597,0.0344695381898571,"Down"
3,"TRIM69",-2.96071331303948,0.0344695381898571,"Down"
3,"CNPY2",-1.36136052200547,0.0344695381898571,"Down"
3,"TBC1D25",-2.71801431572067,0.0346531304770517,"Down"
3,"POU5F2",-2.64129446521345,0.0346531304770517,"Down"
3,"GLTP",-2.2410762802047,0.0351429633833725,"Down"
3,"PTPMT1",-2.0299453275353,0.0351429633833725,"Down"
3,"NEU3",-1.43822641341504,0.0351429633833725,"Down"
3,"TRIAP1",-3.24656975597582,0.0352097695084249,"Down"
3,"FKBPL",-4.44657525587011,0.0356935495973305,"Down"
3,"ANKRD13B",-3.44388331041295,0.036183514671585,"Down"
3,"EPHX1",-2.94146026334753,0.036183514671585,"Down"
3,"PIM3",-2.15355592335696,0.036183514671585,"Down"
3,"TBC1D30",-3.52194537957,0.0364788181141539,"Down"
3,"ICAM3",-1.69263394318801,0.0371138904191258,"Down"
3,"TRPA1",-4.06068856408271,0.0371574698344068,"Down"
3,"CD248",-3.71880306063963,0.0371574698344068,"Down"
3,"AHDC1",-2.307875235389,0.0371574698344068,"Down"
3,"TAF5L",-1.98238693742657,0.0371574698344068,"Down"
3,"GIPR",-3.67760935510838,0.0385281550508177,"Down"
3,"GTF2H2C",-1.9002277040096,0.0385281550508177,"Down"
3,"RARRES1",-3.46750007768863,0.0389017429835151,"Down"
3,"MED29",-2.01959423768801,0.0389629578791228,"Down"
3,"SMPD1",-2.03289823796105,0.0390001022582351,"Down"
3,"ZNF282",-2.25911038270977,0.0394983035660975,"Down"
3,"OAS3",-2.7869979336696,0.0404843653496185,"Down"
3,"C6orf47",-2.34093923731139,0.0404843653496185,"Down"
3,"NDUFB7",-2.0081675463946,0.0404843653496185,"Down"
3,"RUVBL2",-1.92415291267167,0.042141962930203,"Down"
3,"ALG12",-1.63740382254836,0.0444295375376,"Down"
3,"BMP1",-2.8399132655116,0.0449930286451443,"Down"
3,"SIRPB1",-4.68763855884629,0.0465614814683302,"Down"
3,"CCDC92",-1.81825738571761,0.0468177452395663,"Down"
3,"CDK2",-1.56157745288845,0.0468177452395663,"Down"
3,"MOV10",-1.45570687267213,0.0468177452395663,"Down"
3,"ISYNA1",-2.98139761782551,0.0477249434405117,"Down"
3,"SLC29A3",-1.98800656836827,0.0496734199025325,"Down"
4,"S100A9",4.79915399991394,5.28595812675829e-05,"Up"
4,"SLC2A1",1.64272976841803,5.8831638422607e-05,"Up"
4,"CXCL13",-3.13660334490247,7.34850664977101e-05,"Down"
4,"HMBS",2.15556472890948,7.34850664977101e-05,"Up"
4,"HBB",5.28696541541726,0.00011042016349205,"Up"
4,"SLC25A37",2.33933354442418,0.00011042016349205,"Up"
4,"ANK1",3.54624772025938,0.000141656565664774,"Up"
4,"FCN1",3.01531375349334,0.000141656565664774,"Up"
4,"ADAMDEC1",-2.25956307920123,0.000167104354588386,"Down"
4,"CR2",-2.11727343960046,0.000167104354588386,"Down"
4,"GCLC",1.17584077827275,0.000264943572517553,"Up"
4,"ANKLE1",2.4678650393762,0.000383841131634884,"Up"
4,"MYO1F",1.14104577619384,0.000444368406249494,"Up"
4,"RPS27",-1.29320893309925,0.00055432564518872,"Down"
4,"CSF3R",2.74976215927596,0.00059553555611557,"Up"
4,"PPP1R15A",1.18644464561622,0.000633204850204782,"Up"
4,"HLA-DRA",-1.26150322689215,0.000690651674606143,"Down"
4,"HK3",3.20145160245395,0.000767011809596351,"Up"
4,"ENPP2",-1.39602510856018,0.000767011809596351,"Down"
4,"RNF123",1.10190351387834,0.000905682249632465,"Up"
4,"C3",-2.07575576359771,0.000975361046077786,"Down"
4,"B2M",-1.15709892138613,0.000981172179614172,"Down"
4,"MAFG",1.64692224060023,0.00101229030088249,"Up"
4,"PYGL",2.85261149587562,0.00111239989733196,"Up"
4,"XPO7",1.01828863746746,0.00111239989733196,"Up"
4,"HSPA6",3.46671002307313,0.00111647475846119,"Up"
4,"TMSB10",-1.00523909228351,0.00111647475846119,"Down"
